,Unnamed: 0,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Car Time Adjusted,Bike Time,Car/Bike Delta,Car/Bus Delta,Bike/Bus Delta
153,153,59170223,DA,59170223,0.3143,944,379,364,944,-123.330015,48.44141,1655824254,1655824914,1655824872,1655824477,6.583333333,10.3,-3.716666667
154,154,59170224,DA,59170224,0.0925,506,262,247,506,-123.330919,48.438046,1655824328,1655824828,1655824765,1655824363,6.7,7.283333333,-0.583333333
155,155,59170225,DA,59170225,0.1329,488,189,179,488,-123.334186,48.442259,1655824170,1655824896,1655824839,1655824358,8.016666667,11.15,-3.133333333
156,156,59170226,DA,59170226,0.1579,589,248,240,589,-123.335437,48.437391,1655824008,1655824825,1655824764,1655824369,6.583333333,12.6,-6.016666667
157,157,59170227,DA,59170227,0.1632,778,436,415,778,-123.338744,48.443101,1655824363,1655824897,1655824847,1655824498,5.816666667,8.066666667,-2.25
158,158,59170228,DA,59170228,0.0955,339,155,146,339,-123.34205,48.441322,1655824242,1655824835,1655824779,1655824417,6.033333333,8.95,-2.916666667
159,159,59170229,DA,59170229,0.2325,445,218,215,445,-123.335467,48.446279,1655824329,1655824826,1655824787,1655824471,5.266666667,7.633333333,-2.366666667
160,160,59170230,DA,59170230,0.1205,622,293,282,622,-123.339429,48.449372,1655823898,1655824884,1655824856,1655824383,7.883333333,15.96666667,-8.083333333
161,161,59170231,DA,59170231,0.1148,402,213,201,402,-123.334983,48.449851,1655824116,1655824965,1655824933,1655824469,7.733333333,13.61666667,-5.883333333
162,162,59170233,DA,59170233,0.2838,651,263,254,651,-123.335978,48.455572,1655824232,1655825008,1655824985,1655824659,5.433333333,12.55,-7.116666667
163,163,59170234,DA,59170234,0.2276,690,296,281,690,-123.330662,48.454062,1655824447,1655825000,1655824977,1655824669,5.133333333,8.833333333,-3.7
164,164,59170235,DA,59170235,0.1394,748,462,427,748,-123.329766,48.45919,1655824818,1655825106,1655825083,1655824885,3.3,4.416666667,-1.116666667
165,165,59170236,DA,59170236,0.3916,533,268,256,533,-123.325868,48.456419,1655824463,1655825022,1655825043,1655824931,1.866666667,9.666666667,-7.8
166,166,59170237,DA,59170237,0.183,606,307,288,606,-123.33002,48.461959,1655824551,1655825003,1655825023,1655824968,0.916666667,7.866666667,-6.95
167,167,59170238,DA,59170238,0.1481,593,272,253,593,-123.327995,48.463841,1655824400,1655825019,1655825021,1655824990,0.516666667,10.35,-9.833333333
168,168,59170239,DA,59170239,0.1593,578,259,247,578,-123.329297,48.466557,1655824546,1655824991,1655824990,1655824952,0.633333333,7.4,-6.766666667
169,169,59170240,DA,59170240,0.1083,697,344,325,697,-123.328125,48.467945,1655824946,1655825019,1655825014,1655824938,1.266666667,1.133333333,0.133333333
170,170,59170241,DA,59170241,0.1794,723,270,252,723,-123.32637,48.470295,1655824618,1655824941,1655824935,1655824819,1.933333333,5.283333333,-3.35
171,171,59170242,DA,59170242,0.236,962,383,355,962,-123.332174,48.471191,1655824832,1655824945,1655824926,1655824835,1.516666667,1.566666667,-0.05
172,172,59170243,DA,59170243,0.1655,596,223,211,596,-123.329667,48.474605,1655824615,1655824917,1655824918,1655824781,2.283333333,5.05,-2.766666667
173,173,59170244,DA,59170244,0.1472,807,242,235,807,-123.322207,48.473995,1655824279,1655824954,1655824922,1655824901,0.35,10.71666667,-10.36666667
174,174,59170245,DA,59170245,0.2451,923,369,342,923,-123.321791,48.471286,1655824610,1655824977,1655824970,1655824905,1.083333333,6,-4.916666667
175,175,59170246,DA,59170246,0.1982,682,261,243,682,-123.316919,48.474136,1655824373,1655825009,1655824953,1655825026,-1.216666667,9.666666667,-10.88333333
