,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Bike Time
300,59170392,DA,59170392,0.4027,780,399,386,780,-123.37011,48.452216,40.86666666666667,13.05,28.583333333333332
301,59170393,DA,59170393,0.2993,491,299,285,491,-123.373811,48.458314,39.5,13.116666666666667,24.433333333333334
302,59170396,DA,59170396,0.2797,697,276,262,697,-123.385406,48.460813,45.53333333333333,13.933333333333334,28.233333333333334
303,59170397,DA,59170397,0.4741,671,271,258,671,-123.375172,48.46601,40.36666666666667,11.916666666666666,23.766666666666666
304,59170399,DA,59170399,0.3602,601,244,234,601,-123.371747,48.460908,35.5,12.6,28.683333333333334
305,59170402,DA,59170402,0.263,553,253,248,553,-123.404567,48.438868,52.333333333333336,19.316666666666666,41.46666666666667
306,59170403,DA,59170403,0.9107,746,374,355,746,-123.416901,48.441512,61.516666666666666,22.233333333333334,46.2
307,59170404,DA,59170404,0.1081,467,227,212,467,-123.422307,48.438571,56.55,20.35,46.13333333333333
308,59170405,DA,59170405,0.0896,368,186,184,368,-123.426525,48.439129,58.28333333333333,20.516666666666666,46.75
309,59170406,DA,59170406,0.1608,519,233,226,519,-123.400108,48.450273,45.5,17.25,33.45
310,59170407,DA,59170407,0.1845,634,269,259,634,-123.403302,48.452816,48.766666666666666,17.366666666666667,34.3
311,59170408,DA,59170408,0.5393,1401,536,526,1401,-123.412974,48.466727,52.416666666666664,17.1,37.63333333333333
312,59170409,DA,59170409,0.4371,946,396,383,946,-123.417832,48.469586,62.233333333333334,18.316666666666666,38.88333333333333
313,59170410,DA,59170410,0.4219,612,205,201,612,-123.418267,48.475394,58.4,19.7,41.46666666666667
314,59170413,DA,59170413,0.4564,871,389,368,871,-123.425171,48.465686,56.166666666666664,18.683333333333334,38.75
315,59170414,DA,59170414,0.75,1297,565,549,1297,-123.433396,48.463779,46.86666666666667,17.5,41.45
316,59170415,DA,59170415,0.6515,1296,576,547,1296,-123.431465,48.455439,58.63333333333333,20.616666666666667,47.88333333333333
317,59170416,DA,59170416,0.0769,289,122,121,289,-123.427694,48.451423,65.13333333333334,19.866666666666667,42.3
318,59170417,DA,59170417,0.2312,668,365,349,668,-123.438075,48.454132,64.13333333333334,19.15,43.93333333333333
319,59170418,DA,59170418,0.1326,344,135,126,344,-123.440604,48.4582,54.233333333333334,20.916666666666668,48.4
320,59170419,DA,59170419,0.5661,904,330,315,904,-123.445424,48.459372,60.78333333333333,22.05,51.583333333333336
321,59170421,DA,59170421,0.5883,1093,535,513,1093,-123.452514,48.459009,59.96666666666667,22.6,52.88333333333333
