a,q,t,dw,hh,id,pop,name,rgid,rpid,ruid,rguid,Transit Time,Car Time,Bike Time
0.1338,0,DA,286,277,59151244,724,59151244,5915,5915025,9330221.03,59933,75.53333333,34.11666667,76.23333333
0.1834,0,DA,845,822,59151252,1778,59151252,5915,5915025,9330223.01,59933,68.58333333,37.03333333,78.93333333
0.0329,0,DA,285,280,59151253,772,59151253,5915,5915025,9330223.01,59933,71,40.6,79.33333333
0.7691,0,DA,683,668,59151254,1797,59151254,5915,5915025,9330223.01,59933,76.55,39.6,79.05
0.0677,0,DA,322,311,59151255,831,59151255,5915,5915025,9330223.01,59933,73,41.03333333,80.11666667
0.0609,0,DA,157,143,59151256,434,59151256,5915,5915025,9330223.01,59933,76.5,38.46666667,80.46666667
0.0849,0,DA,291,279,59151257,781,59151257,5915,5915025,9330223.01,59933,75.43333333,38.31666667,81.06666667
0.109,0,DA,330,316,59151258,858,59151258,5915,5915025,9330223.01,59933,83.78333333,41.23333333,82.35
0.0593,0,DA,350,338,59151259,937,59151259,5915,5915025,9330223.02,59933,82.16666667,40.41666667,82.95
0.0652,0,DA,163,151,59151260,449,59151260,5915,5915025,9330223.02,59933,85.85,40.33333333,82.83333333
0.1342,0,DA,210,197,59151261,603,59151261,5915,5915025,9330223.02,59933,82.53333333,40.68333333,83.06666667
0.1188,0,DA,212,202,59151262,641,59151262,5915,5915025,9330223.02,59933,93.56666667,40.95,83.63333333
0.0886,0,DA,163,152,59151263,497,59151263,5915,5915025,9330233,59933,88.18333333,43.41666667,85.23333333
0.1195,0,DA,225,213,59151264,617,59151264,5915,5915025,9330233,59933,84.33333333,41.6,85.33333333
0.1109,0,DA,189,176,59151265,563,59151265,5915,5915025,9330233,59933,84.83333333,42.85,86.81666667
0.0963,0,DA,166,160,59151266,465,59151266,5915,5915025,9330233,59933,83.9,43.71666667,87.01666667
0.1796,0,DA,294,276,59151267,881,59151267,5915,5915025,9330233,59933,88.35,44.16666667,87.88333333
0.1518,0,DA,178,167,59151268,591,59151268,5915,5915025,9330232,59933,83.86666667,38.4,87.46666667
0.2283,0,DA,242,228,59151269,723,59151269,5915,5915025,9330232,59933,88.83333333,40.58333333,90.01666667
0.2668,0,DA,224,207,59151270,658,59151270,5915,5915025,9330232,59933,92.58333333,38.38333333,91.15
0.1396,0,DA,247,238,59151271,718,59151271,5915,5915025,9330224.02,59933,89.05,39.51666667,86.31666667
0.099,0,DA,503,489,59151272,1050,59151272,5915,5915025,9330224.02,59933,85.03333333,40.51666667,86.31666667
0.1352,0,DA,247,239,59151273,721,59151273,5915,5915025,9330224.02,59933,82.93333333,36.5,84.81666667
0.1041,0,DA,145,133,59151274,463,59151274,5915,5915025,9330224.02,59933,86,38.21666667,85.81666667
0.2859,0,DA,197,188,59151275,530,59151275,5915,5915025,9330231,59933,85.15,37.76666667,87.01666667
0.1878,0,DA,215,203,59151276,574,59151276,5915,5915025,9330231,59933,74.7,34.9,83.65
0.0682,0,DA,104,98,59151277,290,59151277,5915,5915025,9330224.01,59933,77.18333333,38.06666667,82.61666667
0.1399,0,DA,226,218,59151278,654,59151278,5915,5915025,9330225.01,59933,76.45,37.13333333,77.1
0.1652,0,DA,217,201,59151279,617,59151279,5915,5915025,9330225.01,59933,82.48333333,36.68333333,76.41666667
0.0824,0,DA,169,161,59151280,434,59151280,5915,5915025,9330225.01,59933,84.01666667,36.26666667,77.71666667
0.0915,0,DA,172,162,59151281,519,59151281,5915,5915025,9330225.01,59933,91.81666667,34.5,75.31666667
0.134,0,DA,210,197,59151282,609,59151282,5915,5915025,9330225.01,59933,91.85,34.51666667,75.28333333
0.2423,0,DA,244,239,59151283,730,59151283,5915,5915025,9330225.01,59933,91.58333333,34.41666667,75.81666667
0.1748,0,DA,216,200,59151284,590,59151284,5915,5915025,9330225.01,59933,87.48333333,33.88333333,78.78333333
