,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Bike Time
160,59170230,DA,59170230,0.1205,622,293,282,622,-123.339429,48.449372,31.8,11.916666666666666,21.033333333333335
161,59170231,DA,59170231,0.1148,402,213,201,402,-123.334983,48.449851,26.816666666666666,11.583333333333334,20.066666666666666
162,59170233,DA,59170233,0.2838,651,263,254,651,-123.335978,48.455572,28.3,11.933333333333334,21.45
163,59170234,DA,59170234,0.2276,690,296,281,690,-123.330662,48.454062,27.966666666666665,12.633333333333333,21.15
164,59170235,DA,59170235,0.1394,748,462,427,748,-123.329766,48.45919,30.516666666666666,13.85,23.466666666666665
165,59170236,DA,59170236,0.3916,533,268,256,533,-123.325868,48.456419,38.05,14.483333333333333,25.166666666666668
166,59170237,DA,59170237,0.183,606,307,288,606,-123.33002,48.461959,30.466666666666665,14.85,29.133333333333333
167,59170238,DA,59170238,0.1481,593,272,253,593,-123.327995,48.463841,33.21666666666667,15.533333333333333,30.616666666666667
168,59170239,DA,59170239,0.1593,578,259,247,578,-123.329297,48.466557,33.86666666666667,16.316666666666666,31.25
169,59170240,DA,59170240,0.1083,697,344,325,697,-123.328125,48.467945,34.63333333333333,18.183333333333334,31.833333333333332
170,59170241,DA,59170241,0.1794,723,270,252,723,-123.32637,48.470295,37.56666666666667,17.5,37.95
171,59170242,DA,59170242,0.236,962,383,355,962,-123.332174,48.471191,30.866666666666667,16.166666666666668,35.63333333333333
172,59170243,DA,59170243,0.1655,596,223,211,596,-123.329667,48.474605,36.083333333333336,17.566666666666666,38.61666666666667
173,59170244,DA,59170244,0.1472,807,242,235,807,-123.322207,48.473995,39.8,18.6,32.45
174,59170245,DA,59170245,0.2451,923,369,342,923,-123.321791,48.471286,40.766666666666666,17.633333333333333,32.38333333333333
175,59170246,DA,59170246,0.1982,682,261,243,682,-123.316919,48.474136,41.53333333333333,18.733333333333334,31.666666666666668
176,59170247,DA,59170247,0.1518,414,156,149,414,-123.319311,48.477186,45.1,18.433333333333334,33.6
