GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y
59170238,DA,59170238,0.1481,593,272,253,593,-123.327995,48.463841
59170239,DA,59170239,0.1593,578,259,247,578,-123.329297,48.466557
59170240,DA,59170240,0.1083,697,344,325,697,-123.328125,48.467945
59170241,DA,59170241,0.1794,723,270,252,723,-123.32637,48.470295
59170242,DA,59170242,0.236,962,383,355,962,-123.332174,48.471191
59170243,DA,59170243,0.1655,596,223,211,596,-123.329667,48.474605
59170244,DA,59170244,0.1472,807,242,235,807,-123.322207,48.473995
59170245,DA,59170245,0.2451,923,369,342,923,-123.321791,48.471286
59170246,DA,59170246,0.1982,682,261,243,682,-123.316919,48.474136
59170247,DA,59170247,0.1518,414,156,149,414,-123.319311,48.477186
59170248,DA,59170248,0.2178,485,183,175,485,-123.31188,48.478512
59170249,DA,59170249,0.2227,611,224,217,611,-123.319087,48.480496
59170250,DA,59170250,0.1848,468,177,167,468,-123.316444,48.482657
59170251,DA,59170251,0.171,493,177,165,493,-123.316324,48.486047
59170252,DA,59170252,0.3621,1101,407,383,1101,-123.322265,48.485944
59170253,DA,59170253,0.1982,416,142,137,416,-123.316491,48.489618
59170254,DA,59170254,0.2515,446,181,174,446,-123.309695,48.489819
59170255,DA,59170255,0.2508,410,162,157,410,-123.310717,48.485239
59170256,DA,59170256,0.5292,674,266,253,674,-123.305734,48.488499
59170257,DA,59170257,0.5651,768,304,292,768,-123.305377,48.479749
59170258,DA,59170258,0.3055,751,300,294,751,-123.308701,48.474881
59170259,DA,59170259,0.1815,434,166,154,434,-123.307523,48.47155
59170260,DA,59170260,0.6647,635,242,231,635,-123.312415,48.470091
59170262,DA,59170262,0.3476,612,270,259,612,-123.296657,48.464035
59170263,DA,59170263,0.3876,496,234,217,496,-123.295471,48.459257
59170264,DA,59170264,0.5464,641,249,243,641,-123.288825,48.463781
59170265,DA,59170265,0.3099,448,175,171,448,-123.284694,48.459329
59170266,DA,59170266,0.5097,518,264,254,518,-123.277285,48.460636
59170267,DA,59170267,0.509,367,154,149,367,-123.278687,48.452707
59170268,DA,59170268,0.3078,243,99,97,243,-123.274285,48.454958
59170270,DA,59170270,0.4053,579,257,242,579,-123.31733,48.411366
59170271,DA,59170271,0.6912,253,99,96,253,-123.294611,48.471418
59170272,DA,59170272,0.3641,722,398,367,722,-123.33568,48.410431
59170273,DA,59170273,0.193,585,268,248,585,-123.341728,48.414259
59170274,DA,59170274,0.2333,624,336,312,624,-123.346519,48.413447
59170275,DA,59170275,0.3104,517,243,230,517,-123.342544,48.416993
59170276,DA,59170276,0.1192,514,269,259,514,-123.349427,48.418529
59170277,DA,59170277,0.1274,406,210,202,406,-123.345385,48.421138
59170278,DA,59170278,0.0809,534,374,349,534,-123.350011,48.422433
59170279,DA,59170279,0.0415,453,330,312,453,-123.352681,48.421789
59170280,DA,59170280,0.0668,613,395,365,613,-123.354232,48.420229
